cat,ver,bundled,rel,gpu,sm_count,host,ncu_ver,created,bytes,nk,n_grids,kern,grid,block,duration,unit,sm_pct,mem_pct,dram_pct,cycles,occ_pct,theo_occ,regs,smem,waves
cuda-reduce,baseline,reports/cuda-reduce/reduce_baseline_profile.ncu-rep,cuda-reduce/project-proof/profiling/ncu/reduce_baseline_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 13:22:39,171911,2,1,"reduce_baseline_kernel(const float *, float *, int)","(1, 1, 1)","(1, 1, 1)",487.89,ms,0.15,0.15,0.06,636750729,2.08,50,37,0,0.00
cuda-reduce,bench,reports/cuda-reduce/reduce_bench_ncu.ncu-rep,cuda-reduce/profiling/ncu/reduce_bench_ncu.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2026.1.1.0 (build 37634170) (public-release),2026-May-03 13:07:33,1442094,30,1,"reduce_baseline_kernel(const float *, float *, int)","(1, 1, 1)","(1, 1, 1)",424.15,ms,0.14,0.14,0.07,680762621,2.08,50,37,0,0.00
cuda-reduce,v0,reports/cuda-reduce/reduce_v0_profile.ncu-rep,cuda-reduce/project-proof/profiling/ncu/reduce_v0_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 13:23:04,401448,6,3,"void <unnamed>::reduce_v0_kernel<256>(const float *, float *, int)","(65536, 1, 1)","(256, 1, 1)",681.63,us,90.13,90.13,39.00,881033,88.67,100,16,1.02,303.41
cuda-reduce,v1,reports/cuda-reduce/reduce_v1_profile.ncu-rep,cuda-reduce/project-proof/profiling/ncu/reduce_v1_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 13:23:07,401361,6,3,"void <unnamed>::reduce_v1_kernel<256>(const float *, float *, int)","(65536, 1, 1)","(256, 1, 1)",681.79,us,90.15,90.15,39.03,880843,88.68,100,16,1.02,303.41
cuda-reduce,v2,reports/cuda-reduce/reduce_v2_profile.ncu-rep,cuda-reduce/project-proof/profiling/ncu/reduce_v2_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 13:23:09,401273,6,3,"void <unnamed>::reduce_v2_kernel<256>(const float *, float *, int)","(65536, 1, 1)","(256, 1, 1)",664.13,us,91.78,91.78,39.75,865181,88.66,100,16,1.02,303.41
cuda-reduce,v3,reports/cuda-reduce/reduce_v3_profile.ncu-rep,cuda-reduce/project-proof/profiling/ncu/reduce_v3_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 13:23:12,402311,6,3,"void <unnamed>::reduce_v3_kernel<256>(const float *, float *, int)","(32768, 1, 1)","(256, 1, 1)",370.02,us,91.88,91.88,71.61,479485,89.40,100,16,1.02,151.70
cuda-reduce,v4,reports/cuda-reduce/reduce_v4_profile.ncu-rep,cuda-reduce/project-proof/profiling/ncu/reduce_v4_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 13:23:15,399000,6,3,"void <unnamed>::reduce_v4_kernel<256>(const float *, float *, int)","(32768, 1, 1)","(256, 1, 1)",317.15,us,56.99,96.68,96.68,354821,78.39,100,16,1.02,151.70
cuda-reduce,v5,reports/cuda-reduce/reduce_v5_once.ncu-rep,cuda-reduce/profiling/ncu/reduce_v5_once.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2026.1.1.0 (build 37634170) (public-release),2026-May-03 13:12:08,85519,1,1,"void <unnamed>::reduce_v5_kernel<256>(const float *, float *, int)","(32768, 1, 1)","(256, 1, 1)",277.92,us,48.24,96.67,96.67,445597,82.14,100,16,1.02,151.70
cuda-reduce,v5,reports/cuda-reduce/reduce_v5_once_after_v7.ncu-rep,cuda-reduce/profiling/ncu/reduce_v5_once_after_v7.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2026.1.1.0 (build 37634170) (public-release),2026-May-03 13:21:54,85528,1,1,"void <unnamed>::reduce_v5_kernel<256>(const float *, float *, int)","(32768, 1, 1)","(256, 1, 1)",276.74,us,48.47,96.66,96.66,443574,81.93,100,16,1.02,151.70
cuda-reduce,v5,reports/cuda-reduce/reduce_v5_profile.ncu-rep,cuda-reduce/project-proof/profiling/ncu/reduce_v5_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 13:23:18,400191,6,3,"void <unnamed>::reduce_v5_kernel<256>(const float *, float *, int)","(32768, 1, 1)","(256, 1, 1)",316.70,us,51.93,96.55,96.55,406638,81.32,100,16,1.02,151.70
cuda-reduce,v6,reports/cuda-reduce/reduce_v6_once.ncu-rep,cuda-reduce/profiling/ncu/reduce_v6_once.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2026.1.1.0 (build 37634170) (public-release),2026-May-03 13:11:25,87240,1,1,"void <unnamed>::reduce_v6_kernel<256>(const float *, float *, int)","(288, 1, 1)","(256, 1, 1)",279.17,us,6.93,96.09,96.09,447942,87.02,100,17,1.02,1.33
cuda-reduce,v6,reports/cuda-reduce/reduce_v6_profile.ncu-rep,cuda-reduce/project-proof/profiling/ncu/reduce_v6_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 13:23:20,281819,4,2,"void <unnamed>::reduce_v6_kernel<256>(const float *, float *, int)","(288, 1, 1)","(256, 1, 1)",318.50,us,8.56,96.23,96.23,356403,86.67,100,17,1.02,1.33
cuda-reduce,v7,reports/cuda-reduce/reduce_v7_once.ncu-rep,cuda-reduce/profiling/ncu/reduce_v7_once.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2026.1.1.0 (build 37634170) (public-release),2026-May-03 13:22:40,87240,1,1,"void <unnamed>::reduce_v7_kernel<256>(const float *, float *, int)","(288, 1, 1)","(256, 1, 1)",319.26,us,6.10,95.79,95.79,512255,84.05,100,17,1.02,1.33
cuda-reduce,v7,reports/cuda-reduce/reduce_v7_profile.ncu-rep,cuda-reduce/project-proof/profiling/ncu/reduce_v7_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 13:23:22,281819,4,2,"void <unnamed>::reduce_v7_kernel<256>(const float *, float *, int)","(288, 1, 1)","(256, 1, 1)",318.72,us,7.47,96.15,96.15,407963,84.36,100,17,1.02,1.33
gemv,baseline,reports/gemv/gemv_baseline_profile.ncu-rep,gemv/project-proof/profiling/ncu/gemv_baseline_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 14:47:37,171748,2,1,"<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","(4096, 1, 1)","(1, 1, 1)",754.62,us,95.92,95.92,17.66,973372,46.21,50,37,0,4.74
gemv,cublas,reports/gemv/gemv_cublas_profile.ncu-rep,gemv/project-proof/profiling/ncu/gemv_cublas_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 14:47:46,1468877,2,1,"void gemv2T_kernel_val<int, int, float, float, float, float, 128, 16, 4, 4, 0, 0, cublasGemvParams<cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13, T6, T6)","(512, 1, 1)","(128, 1, 1)",143.65,us,19.40,94.65,94.65,181581,63.56,75,56,2.56,1.58
gemv,v0,reports/gemv/gemv_v0_profile.ncu-rep,gemv/project-proof/profiling/ncu/gemv_v0_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 14:47:38,169558,2,1,"void <unnamed>::gemv_v0_kernel<256>(const float *, const float *, float *, int, int)","(4096, 1, 1)","(256, 1, 1)",163.17,us,42.79,95.10,95.10,180194,95.65,100,38,1.02,18.96
gemv,v1,reports/gemv/gemv_v1_profile.ncu-rep,gemv/project-proof/profiling/ncu/gemv_v1_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 14:47:40,169782,2,1,"void <unnamed>::gemv_v1_kernel<256>(const float *, const float *, float *, int, int)","(4096, 1, 1)","(256, 1, 1)",162.69,us,37.34,95.41,95.41,206013,95.52,100,27,1.02,18.96
gemv,v2,reports/gemv/gemv_v2_profile.ncu-rep,gemv/project-proof/profiling/ncu/gemv_v2_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 14:47:41,173467,2,1,"void <unnamed>::gemv_v2_kernel<256, 4>(const float *, const float *, float *, int, int)","(4096, 1, 1)","(256, 1, 1)",162.34,us,26.77,95.40,95.40,205753,63.53,66.67,54,1.02,28.44
gemv,v3,reports/gemv/gemv_v3_profile.ncu-rep,gemv/project-proof/profiling/ncu/gemv_v3_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 14:47:42,167367,2,1,"<unnamed>::gemv_v3_kernel(const float *, const float *, float *, int, int)","(1024, 1, 1)","(32, 4, 1)",162.05,us,15.08,95.42,95.42,205686,88.61,100,38,0,2.37
gemv,v4,reports/gemv/gemv_v4_profile.ncu-rep,gemv/project-proof/profiling/ncu/gemv_v4_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 14:47:44,165697,2,1,"void <unnamed>::gemv_v4_kernel<128, 4>(const float *, const float *, float *, int, int)","(1024, 1, 1)","(128, 4, 1)",162.82,us,39.04,95.08,95.08,206381,96.38,100,25,2.56,9.48
int8-quantize,baseline,reports/int8-quantize/int8_quantize_baseline_profile.ncu-rep,int8-quantize/project-proof/profiling/ncu/int8_quantize_baseline_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 15:13:06,177398,2,1,"<unnamed>::quantize_baseline_kernel(const float *, const float *, signed char *, int, int)","(1, 1, 1)","(1, 1, 1)",252.36,ms,0.12,0.07,0.01,329267261,2.08,50,21,0,0.00
int8-quantize,v0,reports/int8-quantize/int8_quantize_v0_profile.ncu-rep,int8-quantize/project-proof/profiling/ncu/int8_quantize_v0_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 15:13:17,169032,2,1,"<unnamed>::quantize_v0_kernel(const float *, const float *, signed char *, int, int)","(4096, 1, 1)","(256, 1, 1)",27.55,us,61.03,69.07,69.07,35294,82.10,100,22,0,18.96
int8-quantize,v1,reports/int8-quantize/int8_quantize_v1_profile.ncu-rep,int8-quantize/project-proof/profiling/ncu/int8_quantize_v1_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 15:13:18,175285,2,1,"<unnamed>::quantize_v1_kernel(const float *, const float *, signed char *, int, int)","(2048, 1, 1)","(256, 1, 1)",22.66,us,55.84,83.61,83.61,29146,84.96,100,22,0,9.48
int8-quantize,v2,reports/int8-quantize/int8_quantize_v2_profile.ncu-rep,int8-quantize/project-proof/profiling/ncu/int8_quantize_v2_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 15:13:19,172111,2,1,"<unnamed>::quantize_v2_kernel(const float *, const float *, signed char *, int, int)","(1024, 1, 1)","(256, 1, 1)",23.07,us,43.64,81.48,81.48,29895,85.81,100,25,0,4.74
int8-quantize,v3,reports/int8-quantize/int8_quantize_v3_profile.ncu-rep,int8-quantize/project-proof/profiling/ncu/int8_quantize_v3_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 15:13:21,168653,2,1,"<unnamed>::quantize_v3_kernel(const float *, const float *, signed char *, int, int)","(1024, 1, 1)","(256, 1, 1)",22.40,us,25.26,84.85,84.85,28850,88.90,100,20,0,4.74
int8-quantize,v4,reports/int8-quantize/int8_quantize_v4_profile.ncu-rep,int8-quantize/project-proof/profiling/ncu/int8_quantize_v4_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 15:13:22,172320,2,1,"<unnamed>::quantize_v4_kernel(const float *, const float *, signed char *, int, int)","(1024, 1, 1)","(256, 1, 1)",22.40,us,25.26,84.57,84.57,28879,85.91,100,29,0,4.74
softmax,baseline,reports/softmax/softmax_baseline_profile.ncu-rep,softmax/project-proof/profiling/ncu/softmax_baseline_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 14:39:25,179737,2,1,"<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)","(1024, 1, 1)","(1, 1, 1)",410.94,us,52.62,44.06,4.07,529512,36.12,50,39,0,1.19
softmax,cublas,reports/softmax/softmax_cublas_profile.ncu-rep,softmax/project-proof/profiling/ncu/softmax_cublas_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 14:39:36,169334,2,1,"<unnamed>::softmax_cublas_kernel(const float *, float *, int, int)","(1024, 1, 1)","(256, 1, 1)",31.14,us,53.08,60.31,60.31,40386,91.02,100,26,256,4.74
softmax,smoke,reports/softmax/softmax_smoke.ncu-rep,softmax/project-proof/profiling/ncu/softmax_smoke.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-03 16:57:01,222754,8,1,"<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)","(1024, 1, 1)","(1, 1, 1)",405.38,us,51.13,42.82,4.50,544407,36.07,50,39,0,1.19
softmax,v0,reports/softmax/softmax_v0_profile.ncu-rep,softmax/project-proof/profiling/ncu/softmax_v0_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 14:39:26,170477,2,1,"void <unnamed>::softmax_v0_kernel<256>(const float *, float *, int, int)","(1024, 1, 1)","(256, 1, 1)",32.13,us,75.52,75.52,58.72,41620,91.23,100,38,1.02,4.74
softmax,v1,reports/softmax/softmax_v1_profile.ncu-rep,softmax/project-proof/profiling/ncu/softmax_v1_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 14:39:27,169786,2,1,"void <unnamed>::softmax_v1_kernel<256>(const float *, float *, int, int)","(1024, 1, 1)","(256, 1, 1)",32.19,us,75.52,75.52,58.38,41720,91.24,100,38,1.02,4.74
softmax,v2,reports/softmax/softmax_v2_profile.ncu-rep,softmax/project-proof/profiling/ncu/softmax_v2_profile.ncu-rep,NVIDIA GeForce RTX 4070 Laptop GPU,36,ubuntu22,2022.4.1.0 (build 32308335) (public-release),2026-May-23 14:39:28,171040,2,1,"void <unnamed>::softmax_v2_kernel<256>(const float *, float *, int, int)","(1024, 1, 1)","(256, 1, 1)",31.78,us,77.03,77.03,59.61,40887,91.27,100,38,1.02,4.74
