==PROF== Connected to process 4695 (/home/ubuntu22/CudaLearing/Kernel_Optimazation/softmax/build/softmax_bench)
==PROF== Disconnected from process 4695
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","4695","softmax_bench","127.0.0.1","<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)","1","7","(1, 1, 1)","(1024, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","5.02"
"0","4695","softmax_bench","127.0.0.1","<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)","1","7","(1, 1, 1)","(1024, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","51.54"
"0","4695","softmax_bench","127.0.0.1","<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)","1","7","(1, 1, 1)","(1024, 1, 1)","0","8.9","Command line profiler metrics","smsp__inst_executed.sum","inst","40,077,312"
"0","4695","softmax_bench","127.0.0.1","<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)","1","7","(1, 1, 1)","(1024, 1, 1)","0","8.9","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","37.10"
"1","4695","softmax_bench","127.0.0.1","<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)","1","7","(1, 1, 1)","(1024, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","4.99"
"1","4695","softmax_bench","127.0.0.1","<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)","1","7","(1, 1, 1)","(1024, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","52.01"
"1","4695","softmax_bench","127.0.0.1","<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)","1","7","(1, 1, 1)","(1024, 1, 1)","0","8.9","Command line profiler metrics","smsp__inst_executed.sum","inst","40,077,312"
"1","4695","softmax_bench","127.0.0.1","<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)","1","7","(1, 1, 1)","(1024, 1, 1)","0","8.9","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","37.04"
"2","4695","softmax_bench","127.0.0.1","void <unnamed>::softmax_v0_kernel<(int)256>(const float *, float *, int, int)","1","7","(256, 1, 1)","(1024, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","58.49"
"2","4695","softmax_bench","127.0.0.1","void <unnamed>::softmax_v0_kernel<(int)256>(const float *, float *, int, int)","1","7","(256, 1, 1)","(1024, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","75.16"
"2","4695","softmax_bench","127.0.0.1","void <unnamed>::softmax_v0_kernel<(int)256>(const float *, float *, int, int)","1","7","(256, 1, 1)","(1024, 1, 1)","0","8.9","Command line profiler metrics","smsp__inst_executed.sum","inst","2,859,008"
"2","4695","softmax_bench","127.0.0.1","void <unnamed>::softmax_v0_kernel<(int)256>(const float *, float *, int, int)","1","7","(256, 1, 1)","(1024, 1, 1)","0","8.9","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","91.13"
"3","4695","softmax_bench","127.0.0.1","void <unnamed>::softmax_v0_kernel<(int)256>(const float *, float *, int, int)","1","7","(256, 1, 1)","(1024, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","52.03"
"3","4695","softmax_bench","127.0.0.1","void <unnamed>::softmax_v0_kernel<(int)256>(const float *, float *, int, int)","1","7","(256, 1, 1)","(1024, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","75.93"
"3","4695","softmax_bench","127.0.0.1","void <unnamed>::softmax_v0_kernel<(int)256>(const float *, float *, int, int)","1","7","(256, 1, 1)","(1024, 1, 1)","0","8.9","Command line profiler metrics","smsp__inst_executed.sum","inst","2,859,008"
"3","4695","softmax_bench","127.0.0.1","void <unnamed>::softmax_v0_kernel<(int)256>(const float *, float *, int, int)","1","7","(256, 1, 1)","(1024, 1, 1)","0","8.9","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","90.91"
"4","4695","softmax_bench","127.0.0.1","void <unnamed>::softmax_v1_kernel<(int)256>(const float *, float *, int, int)","1","7","(256, 1, 1)","(1024, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","52.21"
"4","4695","softmax_bench","127.0.0.1","void <unnamed>::softmax_v1_kernel<(int)256>(const float *, float *, int, int)","1","7","(256, 1, 1)","(1024, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","76.11"
"4","4695","softmax_bench","127.0.0.1","void <unnamed>::softmax_v1_kernel<(int)256>(const float *, float *, int, int)","1","7","(256, 1, 1)","(1024, 1, 1)","0","8.9","Command line profiler metrics","smsp__inst_executed.sum","inst","2,859,008"
"4","4695","softmax_bench","127.0.0.1","void <unnamed>::softmax_v1_kernel<(int)256>(const float *, float *, int, int)","1","7","(256, 1, 1)","(1024, 1, 1)","0","8.9","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","90.65"
"5","4695","softmax_bench","127.0.0.1","void <unnamed>::softmax_v1_kernel<(int)256>(const float *, float *, int, int)","1","7","(256, 1, 1)","(1024, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","52.18"
"5","4695","softmax_bench","127.0.0.1","void <unnamed>::softmax_v1_kernel<(int)256>(const float *, float *, int, int)","1","7","(256, 1, 1)","(1024, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","76.46"
